episode 10:  return= -6569369.469681069
episode 20:  return= -4383659.292720208
episode 30:  return= -4298212.274531865
episode 40:  return= -4259087.517038493
episode 50:  return= -4194507.442253714
episode 60:  return= -4172339.9630409535
episode 70:  return= -4131628.904268151
episode 80:  return= -4050911.213795026
episode 90:  return= -4024114.8492532657
episode 100:  return= -3980506.0331334397
episode 110:  return= -3881827.4636571687
episode 120:  return= -3879374.3884495767
episode 130:  return= -3795745.220905594
episode 140:  return= -3741120.7689078744
episode 150:  return= -3828591.69401888
episode 160:  return= -3799106.5751684015
episode 170:  return= -3846798.8933064733
episode 180:  return= -3758480.511371373
episode 190:  return= -3771579.3959520156
episode 200:  return= -3767351.37932495
episode 210:  return= -3799290.7947839214
episode 220:  return= -3776329.9222439607
episode 230:  return= -3756516.125165717
episode 240:  return= -3766019.5683748377
episode 250:  return= -3670927.364840513
episode 260:  return= -3772084.9873019056
episode 270:  return= -3736933.8135887217
episode 280:  return= -3721318.2645087196
episode 290:  return= -3725950.151822203
episode 300:  return= -3602596.2232011603
episode 310:  return= -3714589.406001675
episode 320:  return= -3649428.62331426
episode 330:  return= -3510005.3050263408
episode 340:  return= -3608079.123443395
episode 350:  return= -3481409.596983083
episode 360:  return= -3384463.8040651884
episode 370:  return= -2280501.764332295
episode 380:  return= -2002808.722503449
episode 390:  return= -1816633.6018054842
episode 400:  return= -1457828.1572092636
episode 410:  return= -1263644.7981743426
episode 420:  return= -1236177.881386721
episode 430:  return= -905887.5320535706
episode 440:  return= -855502.2025216431
episode 450:  return= -739058.116415163
episode 460:  return= -801428.9040229081
episode 470:  return= -695658.2180656705
episode 480:  return= -810547.6972878166
episode 490:  return= -708334.9168996412
episode 500:  return= -859330.4201966889
episode 510:  return= -538858.8742600465
episode 520:  return= -698230.5332052645
episode 530:  return= -821205.7064488502
episode 540:  return= -704846.3195767084
episode 550:  return= -665544.1075766616
episode 560:  return= -581511.3711922227
episode 570:  return= -751741.6486926611
episode 580:  return= -573292.7422013981
episode 590:  return= -827848.8145155336
episode 600:  return= -502400.87198715546
episode 610:  return= -534012.7393191538
episode 620:  return= -510570.1539534697
episode 630:  return= -590290.6274343226
episode 640:  return= -525827.3763600163
episode 650:  return= -515321.6109087376
episode 660:  return= -476190.4820392357
episode 670:  return= -591438.8998653454
episode 680:  return= -471107.1097270675
episode 690:  return= -549422.7552355538
episode 700:  return= -508134.10417022597
episode 710:  return= -515525.936577388
episode 720:  return= -503850.3841758355
episode 730:  return= -555146.9298284199
episode 740:  return= -402346.5484890566
episode 750:  return= -400582.8685053221
episode 760:  return= -455229.5894670191
episode 770:  return= -546890.2319253321
episode 780:  return= -589127.057616684
episode 790:  return= -440922.61354029
episode 800:  return= -424532.6424063336
episode 810:  return= -497786.3251729631
episode 820:  return= -490558.38787009544
episode 830:  return= -456374.77503348206
episode 840:  return= -413790.62225327047
episode 850:  return= -445801.1028939697
episode 860:  return= -478373.8515208967
episode 870:  return= -415051.51709896175
episode 880:  return= -379975.67051047244
episode 890:  return= -399322.35464642505
episode 900:  return= -432979.80895062635
episode 910:  return= -372124.7005793301
episode 920:  return= -371743.16406041465
episode 930:  return= -376935.6877906898
episode 940:  return= -468683.7851909105
episode 950:  return= -345738.7708313968
episode 960:  return= -480272.7769736946
episode 970:  return= -379851.4486337303
episode 980:  return= -403505.50596407586
episode 990:  return= -418449.10829939914
episode 1000:  return= -352852.8636263237
